"Sequence","Score"
"729-33451/XX9/7/X-4","153"
"6-X7-XX1111X635/8","113"
"2/XX41X8-X1/X15","152"
"-/9/8/X3/9/9-52X26","157"
"9/6-7/7-XX22357143","109"
"16X3/X517-72617/-/4","116"
"X9/541-4/632/X3/7/8","145"
"6/7/9-XX2/X416-9/8","151"
"362/814/2/41XX63X61","138"
"71X4-7/7/3/9/X6/9-","143"
"-/1/9/3/X2443X9-X71","138"
"53XX4/51X9/5/52X15","146"
"XXX6/X-/6-1/175/4","171"
"1/423/2/24X9/2/X8-","128"
"XX8-XX4/1/XX-5","169"
"7/9/X5/444-6-72276-","115"
"9-X146/X1/X539/4/7","146"
"6/X2735-5X7/3/4-25","119"
"X1/6/8/X521/8/3-27","141"
"X7/6-XXX7--/X9/3","176"
"XXX6/4/X8/9/359-","179"
"X628-3/9/X275/6/X26","155"
"XX7/1/7/2/25X-/X8-","164"
"X9-X9-61XXX2/5/X","170"
"2/5/27-/36X9/51X9/9","138"
"4/XX3/458--95-72X-X","137"
"9-11443/722-15XX8/5","116"
"8/X42-/XXXXX-/1","203"
"4/517/8/5/-92/X2/3/2","138"
"2/-642158-X2/X2/X-3","129"
"16-38/8/-/72X7/521/9","125"
"-3-/6/333/XXXX5/4","177"
"52X36X2/X53XX6/8","165"
"1/X4/31X4/-5XX7/8","157"
"X8-61723/2-32X-/-/8","109"
"4/XX-481X63X9-54","132"
"71X17X1/X9/-3638-","124"
"4/42-/137-2/4/-/6111","91"
"-1X8/X9--/X812/X32","152"
"1/X8-81XXX1/X72","174"
"3/X2/3/X35X9/XX9-","187"
"4/XX2/11X3/3/7/9-","153"
"54-5544/-/XX4/9/9-","144"
"XX-/347126813--61/2","106"
"X5/XX-118X4/5/X71","154"
"XX9-819-X4181-/54","128"
"-9-/XXX6/7271445/X","167"
"X1/1/X16274/54724/6","133"
"5-9-X9-7-32-/X321/7","111"
"XX5/7/XXX-/8/81","197"
"8--5X6-X8-XXX1/4","146"
"XXXX6/2/2/X4/X64","210"
"XX4/133/X41X33X11","133"
"213235XX-816X2/34","109"
"1211-/X1/XX143/X13","140"
"2/269-X4/53X6/429/8","130"
"4/1/-/8-4-348/2/7-X16","111"
"2/9-X3/X-/-/X3/8/8","174"
"6/44XX-854XX5/5/1","148"
"X4-54X6/71612/3/8-","118"
"52XXX3/XX27X62","176"
"8-9-9/XX7/X9-XX21","167"
"81XXX121/3/3/XX53","165"
"XX1/X612/3/X-14/6","146"
"2/43-/5/X7-8-X625-","119"
"8/X9-4/-1-95/539/5/X","126"
"9/9/4/8-7/4-9-7/2/72","124"
"627/6/7/1/-/X9/6-XX","144"
"7/-/635/X7/9/X4/X-5","169"
"XXX3/9/5/XX5/17","191"
"7-6111-8XX6/3/-04/-","103"
"XX-/6/2/54XXX2/9","183"
"7122X9/-/3/269-X41","104"
"X3/159/243/3/5/6/3/3","125"
"3/X-0X4551-0XX8/6","128"
"5/X8/3/9/X9-XXX51","191"
"X9/X-/X5/4/1636-/5","156"
"7/-9XX-/331521XX82","135"
"9/2-54XX1/9-52XXX","149"
"X62X4/813/7262X9/7","144"
"-/X3/173/5/X51X18","144"
"81XX1/XXX7/4/9-","189"
"8-X8-XX458-X239/5","129"
"8131X4/614/8-X516/2","116"
"XX8/9-XX9/9/1/X6-","191"
"2/-/6-54X8/XXX8-","165"
"X5/1/7/XX5/818-9-","157"
"1/3/9-4/5/XXXXX34","206"
"8/XX5/2-XXX5/XX","194"
"X422/-354X7/2/X72","124"
"7/5/XXX7/XX13X26","189"
"8-XX6/547-X321614","117"
"1/3624XXXX6/1-X44","164"
"3/XXX434/4/728-X17","164"
"1/X15X7181XX1/X9-","157"
"529/X5/6/XXX1/8/4","186"
"XXX4/9/X8/X1/X22","207"
"5/45X7-XXX-84/54","147"
"9--472-/811/5/XX2/9","145"
"628/XX8/818-9-62X61","145"
"-/61XXX7/9-2144XX","159"
"X-/-/X5/5/254/X81","152"
"7/9/-11/XX-/34XXX","160"
"275/X4/12X6/-/XX-3","146"
"18XX6/5/7/X6/1/2/3","163"
"X43XX419--0X7133","109"
"-/8/2/9/529-X-/X4-","138"
"11XX4/X5-816171XX","130"
"63X-/9-7-433-XX51","121"
"4/X5/9/14X9/-0X34","129"
"4/8/XX612/X3/5/5/2","170"
"X-4-36/XX8/X2-X4-","137"
"3/X3/X4/9/XXX8/5","212"
"6/819-4-7-8/24323671","87"
"17546/X7/X36811/9/1","144"
"X812/7/9-626-9/X8/9","146"
"-/9/2/XX2671XXX6-","179"
"81-6129-9-X275/549/2","100"
"XX1-9/8/-225XXX45","143"
"1/XX6/X13XX4/5/6","179"
"X5/X1/4-2544XX62","145"
"161/183/7/12X5/X4/2","130"
"X9/XXX-/62XXXX","214"
"2/X4/6/X3/7/8-8/X73","179"
"3/5/2/3/X51X8-XX51","149"
"2/524/623-9-715/-/7/X","113"
"3/XXX5/6/9/229-63","164"
"X71X7/7/1/9-6/52X-7","141"
"2/542/9-5/5/X81X-4","133"
"5/44X5-3/-/43423/-/7","106"
"6/X1/9/X2/X25XXX","193"
"X5-X9/7/X-2XXX9-","169"
"X5/1/X-1342/1-8/X44","120"
"4-2/-/X6/4472225/X1-","120"
"9-X8/6/4/-0XX4/7/2","142"
"XX5/X8/XX189/X73","194"
"X7/XX4/2/2/X2212","149"
"81XXXXX45X9-9-","188"
"6/5/X4-422/9/X6/-5","133"
"6/9/9/4272X2/1/X-/2","150"
"X21XX24X622/1/61","120"
"54X7/-22-128/6/4/X5-","111"
"X-/X1/-33/XX9-8-","158"
"4/1/9-813/XX9-6/XX","165"
"2/XX154/5-X25XX45","150"
"X-181XX1/2/45XX81","144"
"-/8/1/81X72X72X-8","138"
"XX51X3/X2/711/X45","171"
"X8-2/X-/269/X-/62","150"
"-57/XX34-/8/8/814/3","148"
"9/6/XX4-8/-58/72X-9","138"
"X-/52542/15431/814/-","112"
"8/3/3/53812/1/-/45XX","122"
"-/XX8-4/62X-/54X15","158"
"1-X26X3/X9/5--/X53","145"
"4/X1/5/XX81-/6-1/9","172"
"3/XX24446/2/717/54","133"
"3--1XX-/XX53-27/3","130"
"X2231XX616/X11X11","118"
"266/-7-52/1-XXX54","125"
"XX9-X27XXXXX55","220"
"4/9-X7/447/117-X8/5","125"
"1/XX412/713/818116","132"
"X2-2/XX42818134-0","105"
"XX8/269-524-X5/X23","143"
"1/-/3--3547/6/3581X46","104"
"3/18X718/3/6-2-8-9/6","107"
"2/X-15--/X-6635324","102"
"X629--/8/434/3/9-9/1","126"
"-1369-9-5/X43X23-/4","106"
"719-5/-5441/X239/8-","106"
"725/7/5/-/54-16/X21","112"
"6/63XX-/7-266/5/X17","150"
"61X9/8/728/XX1/42","152"
"9/X7/X9-X-/XX1/9","188"
"X63XXX6/4411279/4","151"
"-/X-4634163X-5X3-","97"
"6-7/X1/433423-8X-/5","122"
"9--/X8-X3/9/X8/3/7","164"
"X415/9/X9/XXX-0","159"
"X3/X9-1/X3/3-XXX","174"
"-563X9/72-/51XX8/8","147"
"X4/X2/2/9-7/9/4461","148"
"8/8/9-2/6/4/-/9/-/8/5","148"
"9-8-X-/7/71329-XX91","142"
"X3341XXX9/4/72-/8","164"
"XX2/9/7/X9/1/6-72","160"
"7-3/8/276/343/-4X8/-","110"
"X43X5/1/9/XXXX7-","198"
"-/42XXXXX4/5-5/1","185"
"X3/14X712/1/-78/6-","112"
"4/713/-/-/6/1-4/X1/4","127"
